"범죄별(1)",범죄별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"범죄별(1)",범죄별(2),소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타,소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타,소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타,소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타,소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타,소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타,소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타,소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타,소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타
"계",소계,130674,5671,7325,39067,5068,2320,5993,2940,874,2079,1057,679,1530,56071,126401,5039,6408,37548,4816,1638,5004,2458,843,2173,951,640,1322,57561,117839,4660,6266,35003,5385,1533,5098,2052,808,2197,854,636,1127,52220,107835,4523,5092,32063,5047,1437,5077,1772,908,2359,754,518,1024,47261,101948,7682,8150,32372,8635,2410,9356,2354,1455,3110,1152,634,1375,23263,103668,8999,8757,32295,10092,2397,9725,2203,1524,3358,1248,685,1199,21186,92679,9597,8200,29395,9626,1756,7199,2030,1230,2791,941,319,949,18646,80445,9848,7924,25921,9455,982,3633,1817,1047,2412,869,325,694,15518,90399,9781,7906,29320,10556,980,5939,1630,1073,2897,962,428,648,18279
"계",살인,158,22,36,33,-,8,6,9,-,1,1,-,-,42,163,20,39,37,1,3,5,3,-,-,4,1,-,50,148,12,30,22,1,4,8,1,-,-,2,-,1,67,142,21,25,27,1,5,10,5,-,1,1,-,-,46,143,29,40,24,3,3,8,6,1,1,1,-,-,27,136,25,36,26,1,7,9,4,-,-,2,-,-,26,141,32,35,23,1,4,7,7,-,2,-,-,-,30,124,30,26,30,1,4,4,3,1,0,1,0,0,24,104,30,26,17,2,-,5,5,2,1,1,-,-,15
"계",강도,343,37,36,92,45,10,17,11,2,1,5,-,-,87,276,20,23,70,34,15,14,8,-,3,1,-,3,85,262,20,15,86,34,9,13,8,-,1,2,-,1,73,169,20,11,43,22,8,5,5,1,-,1,-,3,50,143,10,16,42,27,10,4,6,1,1,-,-,2,24,136,7,12,36,22,7,19,4,1,3,2,-,1,22,138,11,12,28,25,8,16,5,1,2,1,1,1,27,122,25,10,31,25,4,2,5,1,2,2,0,1,14,117,12,11,39,16,2,6,5,1,2,-,-,1,22
"계",강간강제추행,5462,296,404,1007,102,471,364,127,144,694,48,26,1,1778,5449,283,346,924,73,395,342,91,181,812,51,46,1,1904,6002,284,395,986,95,389,398,132,181,841,59,33,2,2207,6963,319,413,1061,116,408,495,130,242,1105,51,49,1,2573,6412,441,538,978,170,553,851,114,280,968,57,60,6,1396,6469,533,552,946,178,528,968,128,255,966,54,49,3,1309,5763,556,588,853,202,441,782,155,174,632,66,29,3,1282,4911,596,625,689,161,302,377,177,188,658,56,37,2,1043,5816,551,578,950,191,277,679,152,178,829,68,47,4,1312
"계",절도,59393,2765,3655,11931,3988,1506,2452,1216,401,936,472,425,1482,28164,55307,1866,2498,11407,3903,952,2204,994,407,1026,424,397,1273,27956,46857,1504,2246,9356,4403,828,2034,682,355,889,367,400,1081,22712,41162,1209,1340,8255,4119,670,1809,564,335,744,282,247,990,20598,39175,1907,2020,9087,6990,1249,3231,721,531,1001,613,296,1302,10227,42204,2455,2163,10198,8464,1297,3481,626,593,1156,649,363,1104,9655,38293,2867,2045,10235,8013,813,2490,583,496,1054,492,160,873,8172,33531,2632,1705,10117,8054,254,1204,472,362,759,417,141,635,6779,37579,2886,1579,11442,8991,337,1684,420,348,1007,487,189,578,7631
"계",폭력,65318,2551,3194,26004,933,325,3154,1577,327,447,531,228,47,26000,65206,2850,3502,25110,805,273,2439,1362,255,332,471,196,45,27566,64570,2840,3580,24553,852,303,2645,1229,272,466,424,203,42,27161,59399,2954,3303,22677,789,346,2758,1068,330,509,419,222,30,23994,56075,5295,5536,22241,1445,595,5262,1507,642,1139,481,278,65,11589,54723,5979,5994,21089,1427,558,5248,1441,675,1233,541,273,91,10174,48344,6131,5520,18256,1385,490,3904,1280,559,1101,382,129,72,9135,41757,6565,5558,15054,1214,418,2046,1160,495,993,393,147,56,7658,46783,6302,5712,16872,1356,364,3565,1048,544,1058,406,192,65,9299
